lineName,fkSta,staMil,stationName,Lon,Lat
西部幹線,900,0,基隆,121.73997,25.13411
西部幹線,910,1.3,三坑,121.74202,25.12305
西部幹線,920,3.7,八堵,121.72898,25.10843
西部幹線,930,6,七堵,121.71415,25.09294
西部幹線,940,8.7,百福,121.69379,25.07795
西部幹線,950,11.7,五堵,121.66764,25.07784
西部幹線,960,13.1,汐止,121.66121,25.06814
西部幹線,970,14.6,汐科,121.64659,25.06261
西部幹線,980,19.1,南港,121.60706,25.05348
西部幹線,990,21.9,松山,121.57841,25.04921
西部幹線,1000,28.3,臺北,121.51784,25.04771
西部幹線,1010,31.1,萬華,121.49984,25.03348
西部幹線,1020,35.5,板橋,121.46403,25.01404
西部幹線,1030,38,浮洲,121.44477,25.00419
西部幹線,1040,40.9,樹林,121.42481,24.99121
西部幹線,1050,42.9,南樹林,121.40891,24.98034
西部幹線,1060,44.8,山佳,121.39273,24.97233
西部幹線,1070,49.2,鶯歌,121.35535,24.95432
西部幹線,1080,57.4,桃園,121.31399,24.98941
西部幹線,1090,63.3,內壢,121.25826,24.97281
西部幹線,1100,67.3,中壢,121.22559,24.95364
西部幹線,1110,73.1,埔心,121.18366,24.91945
西部幹線,1120,77.1,楊梅,121.14645,24.91434
西部幹線,1130,83.9,富岡,121.08304,24.93456
西部幹線,1140,85.6,新富,121.06759,24.93107
西部幹線,1150,87.1,北湖,121.05586,24.92191
西部幹線,1160,89.6,湖口,121.04412,24.90292
西部幹線,1170,95.8,新豐,120.99654,24.86961
西部幹線,1180,100.6,竹北,121.00936,24.83892
西部幹線,1190,105,北新竹,120.98375,24.80864
西部幹線,1210,106.4,新竹,120.97166,24.80172
西部幹線,1220,111.2,三姓橋,120.92846,24.78734
西部幹線,1230,114.4,香山,120.91391,24.76321
西部幹線,1240,120.8,崎頂,120.87183,24.72291
西部幹線,1250,125.4,竹南,120.88041,24.68663
西部幹線,3140,130.7,造橋,120.86721,24.64186
西部幹線,3150,136.6,豐富,120.82636,24.60442
西部幹線,3160,140.6,苗栗,120.82233,24.57008
西部幹線,3170,147.2,南勢,120.79154,24.52268
西部幹線,3180,151.4,銅鑼,120.78616,24.48648
西部幹線,3190,158.8,三義,120.77393,24.42066
西部幹線,3210,169.7,泰安,120.74181,24.33146
西部幹線,3220,172.3,后里,120.73288,24.30933
西部幹線,3230,179.1,豐原,120.72351,24.25431
西部幹線,3240,181.6,栗林,120.71069,24.23481
西部幹線,3250,184.1,潭子,120.70584,24.21255
西部幹線,3260,186,頭家厝,120.70398,24.19572
西部幹線,3270,187.7,松竹,120.70197,24.18045
西部幹線,3280,189.2,太原,120.69988,24.16449
西部幹線,3290,191.2,精武,120.69777,24.14928
西部幹線,3300,193.3,臺中,120.68691,24.13747
西部幹線,3310,195.3,五權,120.66657,24.12892
西部幹線,3320,197.5,大慶,120.64795,24.11911
西部幹線,3330,200.5,烏日,120.62244,24.10867
西部幹線,3340,201.3,新烏日,120.61421,24.10937
西部幹線,3350,203.8,成功,120.59021,24.11424
西部幹線,3360,210.9,彰化,120.53854,24.08177
西部幹線,3370,217.5,花壇,120.53833,24.08173
西部幹線,3380,222.1,大村,120.56068,23.99003
西部幹線,3390,225.6,員林,120.56982,23.95932
西部幹線,3400,229.1,永靖,120.57167,23.92817
西部幹線,3410,232.8,社頭,120.58082,23.89571
西部幹線,3420,237.1,田中,120.59121,23.85827
西部幹線,3430,242.9,二水,120.61805,23.81321
西部幹線,3450,251,林內,120.61499,23.75967
西部幹線,3460,255.8,石榴,120.57998,23.73167
西部幹線,3470,260.6,斗六,120.54117,23.71157
西部幹線,3480,268.2,斗南,120.48072,23.67269
西部幹線,3490,272.1,石龜,120.47106,23.63951
西部幹線,4050,276.7,大林,120.45585,23.60112
西部幹線,4060,282.5,民雄,120.43136,23.55502
西部幹線,4070,289.2,嘉北,120.44852,23.49985
西部幹線,4080,291.8,嘉義,120.44124,23.47902
西部幹線,4090,298.4,水上,120.39961,23.43389
西部幹線,4100,301,南靖,120.38647,23.41346
西部幹線,4110,307,後壁,120.36058,23.36626
西部幹線,4120,314.7,新營,120.32307,23.30673
西部幹線,4130,318,柳營,120.32252,23.27762
西部幹線,4140,321.9,林鳳營,120.32107,23.24259
西部幹線,4150,327.4,隆田,120.31917,23.19271
西部幹線,4160,329.6,拔林,120.32117,23.17287
西部幹線,4170,334.2,善化,120.30653,23.13333
西部幹線,4180,337.1,南科,120.30175,23.10714
西部幹線,4190,341.8,新市,120.29004,23.06816
西部幹線,4200,346.8,永康,120.25347,23.03825
西部幹線,4210,350.5,大橋,120.22429,23.01923
西部幹線,4220,353.2,臺南,120.21249,22.99719
西部幹線,4250,360.8,保安,120.23158,22.93296
西部幹線,4260,362.2,仁德,120.24061,22.92364
西部幹線,4270,364.8,中洲,120.25286,22.90466
西部幹線,4290,367.7,大湖,120.25384,22.87821
西部幹線,4300,370.6,路竹,120.26619,22.85404
西部幹線,4310,378.4,岡山,120.29991,22.79224
西部幹線,4320,382,橋頭,120.31011,22.76098
西部幹線,4330,386.2,楠梓,120.32453,22.72717
西部幹線,4340,391.3,新左營,120.30678,22.68754
西部幹線,4350,393.2,左營,120.29401,22.67447
西部幹線,4360,394.4,內惟,120.28711,22.66592
西部幹線,4370,396.1,美術館,120.28153,22.65235
西部幹線,4380,397.3,鼓山,120.28076,22.64203
西部幹線,4390,399,三塊厝,120.29407,22.63936
西部幹線,4400,399.8,高雄,120.30264,22.63965
西部幹線,4410,401.2,民族,120.31491,22.63911
西部幹線,4420,402.2,科工館,120.32606,22.63732
西部幹線,4430,404,正義,120.34245,22.63425
西部幹線,4440,405.6,鳳山,120.35746,22.63131
西部幹線,4450,409.3,後庄,120.39132,22.64013
西部幹線,4460,413.6,九曲堂,120.42072,22.65658
西部幹線,4470,418.6,六塊厝,120.46497,22.66597
西部幹線,5000,420.8,屏東,120.48608,22.66895
西部幹線,5010,423.4,歸來,120.50283,22.65218
西部幹線,5020,425.7,麟洛,120.51432,22.63481
西部幹線,5030,428.1,西勢,120.52677,22.61661
西部幹線,5040,431.8,竹田,120.54009,22.58648
西部幹線,5050,435.9,潮州,120.53662,22.55007
西部幹線,5060,440.7,崁頂,120.51481,22.51311
西部幹線,5070,443.1,南州,120.51174,22.49207
西部幹線,5080,446.7,鎮安,120.51151,22.45794
西部幹線,5090,449.9,林邊,120.51538,22.43141
西部幹線,5100,453.9,佳冬,120.54782,22.41416
西部幹線,5110,457,東海,120.57252,22.39903
西部幹線,5120,461.1,枋寮,120.59501,22.36786
西部幹線 (海線),1250,0,竹南,120.88041,24.68663
西部幹線 (海線),2110,4.5,談文,120.85825,24.65641
西部幹線 (海線),2120,11.2,大山,120.80376,24.64565
西部幹線 (海線),2130,15,後龍,120.78731,24.61621
西部幹線 (海線),2140,18.6,龍港,120.75812,24.61169
西部幹線 (海線),2150,26.7,白沙屯,120.70824,24.56481
西部幹線 (海線),2160,29.8,新埔,120.69518,24.54018
西部幹線 (海線),2170,35.6,通霄,120.67843,24.49141
西部幹線 (海線),2180,41.7,苑裡,120.65146,24.44344
西部幹線 (海線),2190,49.4,日南,120.65412,24.37805
西部幹線 (海線),2200,54,大甲,120.62702,24.34448
西部幹線 (海線),2210,59.3,臺中港,120.60231,24.30441
西部幹線 (海線),2220,65.3,清水,120.56918,24.26364
西部幹線 (海線),2230,68.5,沙鹿,120.55752,24.23702
西部幹線 (海線),2240,73.1,龍井,120.54335,24.19748
西部幹線 (海線),2250,78.1,大肚,120.54255,24.15441
西部幹線 (海線),2260,83.1,追分,120.57018,24.12051
西部幹線 (海線),3360,90.2,彰化,120.53854,24.08177
南迴線,5120,0,枋寮,120.59501,22.36786
南迴線,5130,5.3,加祿,120.62445,22.33085
南迴線,5140,8.7,內獅,120.64322,22.30615
南迴線,5160,13.6,枋山,120.65968,22.26677
