Line,fkSta,staMil,Station,Longitude,Latitude,Show
西部幹線,900,0,基隆,121.73997,25.13411,0
西部幹線,900,0,基隆,121.7375,25.15,0
西部幹線,900,0,基隆,121.75,25.15,0
西部幹線,900,0,基隆,121.725,25.15,0
西部幹線,900,0,基隆,121.7625,25.1375,0
西部幹線,900,0,基隆,121.75,25.1375,0
西部幹線,900,0,基隆,121.7375,25.1375,0
西部幹線,900,0,基隆,121.725,25.1375,0
西部幹線,900,0,基隆,121.7125,25.1375,0
西部幹線,910,1.3,三坑,121.74202,25.12305,0
西部幹線,910,1.3,三坑,121.7625,25.125,0
西部幹線,910,1.3,三坑,121.75,25.1125,0
西部幹線,910,1.3,三坑,121.75,25.125,0
西部幹線,910,1.3,三坑,121.7625,25.125,0
西部幹線,910,1.3,三坑,121.75,25.125,0
西部幹線,910,1.3,三坑,121.7375,25.125,0
西部幹線,910,1.3,三坑,121.75,25.1125,0
西部幹線,910,1.3,三坑,121.7375,25.125,0
西部幹線,920,3.7,八堵,121.72898,25.10843,0
西部幹線,920,3.7,八堵,121.725,25.1,0
西部幹線,920,3.7,八堵,121.7375,25.1125,0
西部幹線,920,3.7,八堵,121.725,25.1125,0
西部幹線,920,3.7,八堵,121.7375,25.1125,0
西部幹線,920,3.7,八堵,121.7125,25.125,0
西部幹線,920,3.7,八堵,121.7125,25.1125,0
西部幹線,920,3.7,八堵,121.7125,25.125,0
西部幹線,920,3.7,八堵,121.725,25.1,0
西部幹線,920,3.7,八堵,121.725,25.125,0
西部幹線,920,3.7,八堵,121.725,25.125,0
西部幹線,920,3.7,八堵,121.7125,25.1125,0
西部幹線,920,3.7,八堵,121.725,25.1125,0
西部幹線,930,6,七堵,121.71415,25.09294,1
西部幹線,930,6,七堵,121.7125,25.0875,0
西部幹線,930,6,七堵,121.7,25.1125,0
西部幹線,930,6,七堵,121.7125,25.1,0
西部幹線,930,6,七堵,121.7125,25.1,0
西部幹線,930,6,七堵,121.7,25.1,0
西部幹線,930,6,七堵,121.7,25.1125,0
西部幹線,930,6,七堵,121.7125,25.0875,0
西部幹線,930,6,七堵,121.725,25.0875,0
西部幹線,930,6,七堵,121.7125,25.075,0
西部幹線,930,6,七堵,121.725,25.0875,0
西部幹線,930,6,七堵,121.725,25.075,0
西部幹線,940,8.7,百福,121.69379,25.07795,0
西部幹線,940,8.7,百福,121.7125,25.0625,0
西部幹線,940,8.7,百福,121.6875,25.1,0
西部幹線,940,8.7,百福,121.7,25.0875,0
西部幹線,940,8.7,百福,121.6875,25.0875,0
西部幹線,940,8.7,百福,121.6875,25.075,0
西部幹線,940,8.7,百福,121.7,25.075,0
西部幹線,940,8.7,百福,121.6875,25.0625,0
西部幹線,940,8.7,百福,121.7,25.0625,0
西部幹線,950,11.7,五堵,121.66764,25.07784,0
西部幹線,950,11.7,五堵,121.675,25.075,0
西部幹線,950,11.7,五堵,121.6625,25.075,0
西部幹線,950,11.7,五堵,121.6625,25.0875,0
西部幹線,950,11.7,五堵,121.6625,25.1,0
西部幹線,950,11.7,五堵,121.65,25.0875,0
西部幹線,950,11.7,五堵,121.675,25.0875,0
西部幹線,950,11.7,五堵,121.675,25.1,0
西部幹線,960,13.1,汐止,121.66121,25.06814,0
西部幹線,960,13.1,汐止,121.6625,25.0625,0
西部幹線,960,13.1,汐止,121.675,25.0625,0
西部幹線,960,13.1,汐止,121.6625,25.05,0
西部幹線,960,13.1,汐止,121.675,25.05,0
西部幹線,970,14.6,汐科,121.64659,25.06261,0
西部幹線,970,14.6,汐科,121.65,25.0625,0
西部幹線,970,14.6,汐科,121.65,25.05,0
西部幹線,970,14.6,汐科,121.6375,25.075,0
西部幹線,970,14.6,汐科,121.6375,25.05,0
西部幹線,970,14.6,汐科,121.6375,25.0625,0
西部幹線,970,14.6,汐科,121.65,25.075,0
西部幹線,970,14.6,汐科,121.625,25.075,0
西部幹線,970,14.6,汐科,121.6375,25.0375,0
西部幹線,970,14.6,汐科,121.65,25.0375,0
西部幹線,980,19.1,南港,121.60706,25.05348,0
西部幹線,980,19.1,南港,121.6125,25.075,0
西部幹線,980,19.1,南港,121.625,25.05,0
西部幹線,980,19.1,南港,121.6,25.0625,0
西部幹線,980,19.1,南港,121.6125,25.0625,0
