Line,Station,Longitude,Latitude,Show
西部幹線,基隆,121.73997,25.13411,0
西部幹線,三坑,121.74202,25.12305,0
西部幹線,八堵,121.72898,25.10843,0
西部幹線,七堵,121.71415,25.09294,1
西部幹線,百福,121.69379,25.07795,0
西部幹線,五堵,121.66764,25.07784,0
西部幹線,汐止,121.66121,25.06814,0
西部幹線,汐科,121.64659,25.06261,0
西部幹線,南港,121.60706,25.05348,0
西部幹線,松山,121.57841,25.04921,0
西部幹線,臺北,121.51784,25.04771,1
西部幹線,萬華,121.49984,25.03348,0
西部幹線,板橋,121.46403,25.01404,0
西部幹線,浮洲,121.44477,25.00419,0
西部幹線,樹林,121.42481,24.99121,1
西部幹線,南樹林,121.40891,24.98034,0
西部幹線,山佳,121.39273,24.97233,0
西部幹線,鶯歌,121.35535,24.95432,0
西部幹線,桃園,121.31399,24.98941,1
西部幹線,內壢,121.25826,24.97281,0
西部幹線,中壢,121.22559,24.95364,0
西部幹線,埔心,121.18366,24.91945,0
西部幹線,楊梅,121.14645,24.91434,0
西部幹線,富岡,121.08304,24.93456,1
西部幹線,新富,121.06759,24.93107,0
西部幹線,北湖,121.05586,24.92191,0
西部幹線,湖口,121.04412,24.90292,0
西部幹線,新豐,120.99654,24.86961,0
西部幹線,竹北,121.00936,24.83892,0
西部幹線,北新竹,120.98375,24.80864,0
西部幹線,新竹,120.97166,24.80172,1
西部幹線,三姓橋,120.92846,24.78734,0
西部幹線,香山,120.91391,24.76321,0
西部幹線,崎頂,120.87183,24.72291,0
西部幹線,竹南,120.88041,24.68663,0
西部幹線,造橋,120.86721,24.64186,0
西部幹線,豐富,120.82636,24.60442,0
西部幹線,苗栗,120.82233,24.57008,1
西部幹線,南勢,120.79154,24.52268,0
西部幹線,銅鑼,120.78616,24.48648,0
西部幹線,三義,120.77393,24.42066,0
西部幹線,泰安,120.74181,24.33146,0
西部幹線,后里,120.73288,24.30933,0
西部幹線,豐原,120.72351,24.25431,0
西部幹線,栗林,120.71069,24.23481,0
西部幹線,潭子,120.70584,24.21255,0
西部幹線,頭家厝,120.70398,24.19572,0
西部幹線,松竹,120.70197,24.18045,0
西部幹線,太原,120.69988,24.16449,0
西部幹線,精武,120.69777,24.14928,0
西部幹線,臺中,120.68691,24.13747,1
西部幹線,五權,120.66657,24.12892,0
西部幹線,大慶,120.64795,24.11911,0
西部幹線,烏日,120.62244,24.10867,0
西部幹線,新烏日,120.61421,24.10937,0
西部幹線,成功,120.59021,24.11424,0
西部幹線,彰化,120.53854,24.08177,1
西部幹線,花壇,120.53833,24.08173,0
西部幹線,大村,120.56068,23.99003,0
西部幹線,員林,120.56982,23.95932,0
西部幹線,永靖,120.57167,23.92817,0
西部幹線,社頭,120.58082,23.89571,0
西部幹線,田中,120.59121,23.85827,0
西部幹線,二水,120.61805,23.81321,1
西部幹線,林內,120.61499,23.75967,0
西部幹線,石榴,120.57998,23.73167,0
西部幹線,斗六,120.54117,23.71157,1
西部幹線,斗南,120.48072,23.67269,0
西部幹線,石龜,120.47106,23.63951,0
西部幹線,大林,120.45585,23.60112,0
西部幹線,民雄,120.43136,23.55502,0
西部幹線,嘉北,120.44852,23.49985,0
西部幹線,嘉義,120.44124,23.47902,1
西部幹線,水上,120.39961,23.43389,0
西部幹線,南靖,120.38647,23.41346,0
西部幹線,後壁,120.36058,23.36626,0
西部幹線,新營,120.32307,23.30673,0
西部幹線,柳營,120.32252,23.27762,0
西部幹線,林鳳營,120.32107,23.24259,0
西部幹線,隆田,120.31917,23.19271,0
西部幹線,拔林,120.32117,23.17287,0
西部幹線,善化,120.30653,23.13333,0
西部幹線,南科,120.30175,23.10714,0
西部幹線,新市,120.29004,23.06816,0
西部幹線,永康,120.25347,23.03825,0
西部幹線,大橋,120.22429,23.01923,0
西部幹線,臺南,120.21249,22.99719,1
西部幹線,保安,120.23158,22.93296,0
西部幹線,仁德,120.24061,22.92364,0
西部幹線,中洲,120.25286,22.90466,0
西部幹線,大湖,120.25384,22.87821,0
西部幹線,路竹,120.26619,22.85404,0
西部幹線,岡山,120.29991,22.79224,0
西部幹線,橋頭,120.31011,22.76098,0
西部幹線,楠梓,120.32453,22.72717,0
西部幹線,新左營,120.30678,22.68754,0
西部幹線,左營,120.29401,22.67447,0
西部幹線,內惟,120.28711,22.66592,0
西部幹線,美術館,120.28153,22.65235,0
西部幹線,鼓山,120.28076,22.64203,0
西部幹線,三塊厝,120.29407,22.63936,0
西部幹線,高雄,120.30264,22.63965,1
西部幹線,民族,120.31491,22.63911,0
西部幹線,科工館,120.32606,22.63732,0
西部幹線,正義,120.34245,22.63425,0
西部幹線,鳳山,120.35746,22.63131,0
西部幹線,後庄,120.39132,22.64013,0
西部幹線,九曲堂,120.42072,22.65658,0
西部幹線,六塊厝,120.46497,22.66597,0
西部幹線,屏東,120.48608,22.66895,1
西部幹線,歸來,120.50283,22.65218,0
西部幹線,麟洛,120.51432,22.63481,0
西部幹線,西勢,120.52677,22.61661,0
西部幹線,竹田,120.54009,22.58648,0
西部幹線,潮州,120.53662,22.55007,0
西部幹線,崁頂,120.51481,22.51311,0
西部幹線,南州,120.51174,22.49207,0
西部幹線,鎮安,120.51151,22.45794,0
西部幹線,林邊,120.51538,22.43141,0
西部幹線,佳冬,120.54782,22.41416,0
西部幹線,東海,120.57252,22.39903,0
西部幹線,枋寮,120.59501,22.36786,0
西部幹線 (海線),竹南,120.88041,24.68663,0
西部幹線 (海線),談文,120.85825,24.65641,0
西部幹線 (海線),大山,120.80376,24.64565,0
